#Solar Radiation Research Laboratory (39.74 N,105.18 W) file for 2013
# data obtained from ...
$state_name=N/A
$city_name=N/A
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
07:29:18:56:00,68.324,0.5864,0.0,0.0402871998,1.3045946999999998,1.24361514
07:29:18:57:00,68.252,0.5882999999999999,0.0,0.0,1.22151423,1.15594541
07:29:18:58:00,68.144,0.5921,0.0,0.0,1.13897258,1.07338518
07:29:18:59:00,68.036,0.5912,0.0,0.0,1.06303612,0.99660333
07:29:19:00:00,68.0,0.5904,0.0,0.0,0.9957950999999999,0.926858655
07:29:19:01:00,67.928,0.5904,0.0,0.0,0.93685005,0.866473655
07:29:19:02:00,67.928,0.5856,0.0,0.0,0.8830442279999999,0.8177801199999999
07:29:19:03:00,67.946,0.5922,0.0,0.0,0.8353883859999999,0.769816779
07:29:19:04:00,67.91,0.589,0.0,0.0,0.790858629,0.7211223149999999
07:29:19:05:00,67.874,0.5892000000000001,0.0,0.0,0.74554108,0.6756561259999999
07:29:19:06:00,67.784,0.5959,0.0,0.0,0.7002820579999999,0.627979846
07:29:19:07:00,67.712,0.5959,0.0,0.0,0.6542863390000001,0.5815632900000001
07:29:19:08:00,67.622,0.5984,0.0,0.0,0.6056169579999999,0.532873471
07:29:19:09:00,67.46,0.6032,0.0,0.0,0.5532371509999999,0.47869604899999996
07:29:19:10:00,67.28,0.609,0.6219,0.0,0.49751666,0.42379214899999995
07:29:19:11:00,67.118,0.615,2.3756,0.0,0.44143943299999994,0.371833179
07:29:19:12:00,66.974,0.6194,2.4315,0.0,0.388673162,0.31524778899999994
07:29:19:13:00,66.884,0.6215999999999999,2.5166,0.0,0.34466829,0.273555198
07:29:19:14:00,66.794,0.6247,2.6306,0.0,0.308970536,0.238138002
07:29:19:15:00,66.74,0.627,2.6306,0.0,0.279178435,0.21083840799999998
07:29:19:16:00,66.668,0.6293,2.9125,0.0,0.254585947,0.185816722
07:29:19:17:00,66.632,0.6309,3.1675,0.0,0.229160146,0.16315655399999998
07:29:19:18:00,66.542,0.6291,2.5747,0.0,0.20858836999999997,0.143955053
07:29:19:19:00,66.542,0.6218,2.3197,0.0,0.18457093300000002,0.120644585
07:29:19:20:00,66.578,0.6217,2.0647,0.0,0.160888865,0.09888090199999998
07:29:19:21:00,66.596,0.6195,2.8275,0.0,0.139419675,0.0775127872
07:29:19:22:00,66.686,0.6162,2.4047,0.0,0.115931768,0.058132360800000005
07:29:19:23:00,66.722,0.6085,1.6419,0.0,0.093826213,0.034885157699999995
07:29:19:24:00,66.848,0.6083,0.5369,0.0,0.0731042177,0.0158181759
07:29:19:25:00,66.902,0.6043,0.17,0.0,0.054992805299999996,0.0
07:29:19:26:00,66.974,0.5995,1.9528,0.0,0.0375098614,0.0
